process,commodity,direction
EZOCOA120,QTVOC,OUT
ISNFOIL_existing,INDN2ON,OUT
ISNFHFO_existing,INDN2ON,OUT
CHWSOL000,COMSOL,IN
RHWELS005,RHW,OUT
E_WOF_deep_Near_C4_SLB,ELCWIN,IN
MinCOABCO-08,FWCU,OUT
ECOAGEN00,ELCCO2N,OUT
ECOABIOCCAPEL40PAR,ELCN2ON,OUT
RSCNHP000,RSC,OUT
MinCOAHCO-07,SUPBIO,IN
ECOABIOPULPEL10CO,FGDW,OUT
EAHYDGEN00,ELCHYD,IN
RCKLPG000,RESLPG,IN
MinGASNGA-11,SUPCO2N,OUT
E_WON_Trans_C1_IRN,ELC,OUT
E_WOF_tran_Near_C3_HRV,ELC,OUT
E_WOF_shal_Near_C2_FRA,ELCWIN,IN
IPNFCOA_existing,INDN2ON,OUT
CSCELG005,CSC,OUT
RCKCOA005,RCK,OUT
TRLGCC_new,TRACH4N,OUT
QCLFOO05,FWW,OUT
MINOILOBI6,SUPCO2N,OUT
CSHDSA005,COMN2ON,OUT
FT_IISFPRFUEL,IISBMTNGASPS,IN
MINOILHEA7,SUPCH4P,OUT
E_WOF_shal_Near_C1_IDN,ELC,OUT
RCKNGA000,RCK,OUT
MinGASNGA-30,SUPOIL,IN
EZCOABIOPULSLD10PAR,ELCCH4N,OUT
IISSINTER01,MISLIM,IN
E_WOF_tran_Near_C3_PAK,ELCWIN,IN
ISNFOVC_existing,INDCO2N,OUT
MINOILHEA3,SUPRFG,IN
ECOABIOCCATOR10SEP,ELCN2ON,OUT
MinGASNGA-01,SUPELC,IN
E_WOF_deep_Far_C2_MMR,ELCWIN,IN
IPNFOVC_new,INDCO2N,OUT
CLAHAE005,COMELC,IN
EAGASGEN00,ELCCH4N,OUT
IPCHOVC_existing,INDOVC,IN
QCLDOB05,ELC,IN
TRTNGA_new,TRAN2ON,OUT
IOOIBNG_existing,INDN2ON,OUT
ECOAGEN00,QTVOC0,OUT
EZCOABIOPULSLD20PAR,ELCPFA,OUT
RCKCOA005,RESN2ON,OUT
MinGASNGA-20,SUPOIL,IN
FT_IISEAFFUEL,IISCHRCKPS,IN
MinGASNGA-34,SUPELC,IN
MINMNMGYP,MNMGYP,OUT
ELCBFG01,INDELC,OUT
EWIND205,ELCWIN,IN
RSHBIO005,RSH,OUT
MinGASNGA-05,SUPNGA,IN
EZCOABIOPULTOR20SEP,ELCN2ON,OUT
RDWELC210,RDW,OUT
CCKCOA005,COMN2ON,OUT
RCDELC005,RCD,OUT
E_WOF_deep_Inter_C2_FRA,ELCWIN,IN
QCLDOO05,ELC,IN
E_WON_Near_C3_PER,ELCWIN,IN
EZCOABIOPULSLD20PAR,ELCCH4N,OUT
MinGASNGA-31,FWCU,OUT
COTNGA000,COMCH4N,OUT
FT_TRAGSL,TRACO2N,OUT
EZCOABIOCCOSLD20PAR,ELCCH4N,OUT
MinGASNGA-17,SUPRFG,IN
ISCHCOK_existing,INDN2ON,OUT
MinCOABCO-04,SUPBDS,IN
E_WOF_tran_Near_C3_SWE,ELC,OUT
E_WOF_deep_Inter_C2_MEX,ELCWIN,IN
TRCNGA_new,TRANGA,IN
IPCHHFO_existing,INDCO2N,OUT
CSCRAE000,CSC,OUT
FT_IISPLTFUEL,IISBFG,IN
TRCBGS_Existing,TRC,OUT
ECOACCO105,QIGCC,OUT
IISOILCS01,IISOILCS,OUT
E_WOF_tran_Near_C5_NCL,ELCWIN,IN
ECOABIOCCAPEL40PAR,ELCPFA,OUT
CLASUL005,CLA,OUT
IPOIELC_existing,INDELC,IN
ECOABIOCCATOR20CO,FWC,OUT
IPCHHFO_existing,INDCH4N,OUT
CHWELC000,CHW,OUT
INMGASMIXPCC,INDN2ON,OUT
CCKCOA005,CCK,OUT
CHWSOD005,CHW,OUT
IPNFOVC_new,INDCH4N,OUT
EZOCOA122,ELCN2ON,OUT
E_WON_Near_C3_TKM,ELCWIN,IN
ISOICOA_existing,INDCH4N,OUT
IPOICOK_existing,IPOI,OUT
ECOABIOCCAPEL10CO,ELCPFA,OUT
EZCOABIOCCOSLD40PAR,FWW,OUT
ECOAPUL107,ELCCO2N,OUT
RSHEHP005,RESELC,IN
EZCOABIOCCOSLD10SEP,ELCN2ON,OUT
MinCOABCO-10,SUPELC,IN
IOOILPG_existing,INDLPG,IN
RHWSOL000,RESSOL,IN
EZCOABIOCCOPEL10SEP,QIGCC,OUT
RSHNGS005,RESCH4N,OUT
UPSSH2CRD,OILSHA,IN
E_WOF_shal_Inter_C5_IND,ELC,OUT
TRTGCC_new,TRACH4N,OUT
E_WON_Far_C5_KAZ,ELCWIN,IN
CLAICE000,COMELC,IN
ECOABIOPULTOR10CO,BIOTOR,IN
CLAHID000,COMELC,IN
ESOPVD105,ELCSOL,IN
TRLHYB_new,TRAN2ON,OUT
E_WOF_shal_Inter_C6_POL,ELCWIN,IN
IISNGASBFCS01,IISBGS,IN
MinGASNGA-29,SUPCO2N,OUT
CHWNGA000,COMCH4N,OUT
QOLFOC05,QTVOC,IN
E_WOF_deep_Near_C6_VUT,ELCWIN,IN
MinCOAHCO-11,SUPBIO,IN
EACOAGEN00,ELCCH4N,OUT
HETCOAP105,ELCCH4N,OUT
E_WOF_shal_Inter_C5_POL,ELCWIN,IN
TRLGCB_new,TRL,OUT
IISDRIGAS-H2_RFT01,INDCO2P,OUT
EZPCOA121,ELCCH4N,OUT
E_WON_Near_C5_NLD,ELC,OUT
MinGASNGA-23,SUPCH4P,OUT
MinCOABCO-11,SUPRPP,IN
TRTHYB_new,TRACH4N,OUT
FT_TRACOA,TRACO2N,OUT
RESWLF000,RESWLF8,OUT
ECOAAFB105,ELCPFA,OUT
QOLG05,QTOT,OUT
EZCOABIOCCOPEL20SEP,QIGCC,OUT
EZCOABIOCCOPEL20SEP,ELCPFA,OUT
E_WOF_tran_Far_C4_KOR,ELC,OUT
IISNGBSNGMXCS01,IISCO2,OUT
INMCEMPLARTCC,INMFUELCC,IN
MinGASNGA-31,SUPBDS,IN
E_WOF_deep_Near_C1_GEO,ELCWIN,IN
RLICFL005,RLI,OUT
QCLFOS05,QTOT,OUT
IISULCOLYSIS01,MISLORE,IN
FT_COMBIO,BIOBMU,IN
MinGASNGA-29,FWCU,OUT
RCKKER000,RESN2ON,OUT
EWINGEN00,ELC,OUT
EZOCOA120,ELCN2ON,OUT
INMBFS00,MISBFS,IN
IOLPLPG_existing,INDCH4N,OUT
CHPGEOP00,ELC,OUT
IPNFCOK_existing,INDN2ON,OUT
IMCHLPG_existing,INDCH4N,OUT
RSHKER005,RESKER,IN
QOLFOG05,QTOT,OUT
MinCOAHCO-08,SUPBFG,IN
ECOABIOPULPEL20SEP,ELCCH4N,OUT
E_WOF_tran_Inter_C5_GBR,ELCWIN,IN
TWI_Generic,TRACO2N,OUT
FT_SUPRFG,SUPRFG,OUT
EOILSTE105,FGDW,OUT
E_WOF_tran_Far_C6_USA,ELC,OUT
TREDST_new,TRADST,IN
MINOILHEA7,SUPCO2N,OUT
RHWELA005,RESELC,IN
RSCNHP000,RESN2ON,OUT
E_WOF_deep_Far_C6_LTU,ELCWIN,IN
TRCDST_new,TRC,OUT
ISOIHFO_new,INDCH4N,OUT
ISOICOK_existing,INDN2ON,OUT
E_WOF_deep_Inter_C1_LKA,ELCWIN,IN
MINMISQLI1,MISQLI,OUT
RSHDST000,RESCH4N,OUT
IISBFCCS_RFT01,MISCST,OUT
E_WON_Far_C1_NPL,ELCWIN,IN
FT_SUPCOA,COATAR,IN
E_WOF_shal_Near_C4_FJI,ELCWIN,IN
COEELC000,COE,OUT
MinGASNGA-25,GASNGA,OUT
QQCLFOC00,FWW,OUT
E_WOF_deep_Far_C4_JPN,ELCWIN,IN
ECOABIOPULTOR20PAR,ELCPFA,OUT
E_WOF_shal_Near_C6_DNK,ELC,OUT
ECOABIOPULSLD10SEP,FGDW,OUT
IOOIELC_existing,INDELC,IN
TRLELC_Existing,TRAELC,IN
ISCHCOA_existing,INDCH4N,OUT
RHWNGA010,RHW,OUT
MinCOABCO-05,SUPOIL,IN
MinCOABCO-10,SUPRPP,IN
FT_TRAGSL,TRAGSL,OUT
BIOPELLSAW000,BIOPEL,OUT
TRTHHB020,TRT,OUT
IISULCORED_DRI01,MISOXY,IN
CSHELB005,COMELC,IN
ECOABIOCCAPEL20PAR,QIGCC,OUT
MinCOABCO-03,SUPBFG,IN
HETMWSTP00,HET,OUT
MinCOABCO-05,SUPBIO,IN
E_WOF_tran_Inter_C4_UKR,ELCWIN,IN
CHWCOA000,COMCOA,IN
ISNFOVC_existing,INDCH4N,OUT
E_WOF_deep_Near_C1_PAK,ELCWIN,IN
MinGASNGA-19,SUPRFG,IN
FT_COMLPG,COMCO2N,OUT
MinGASNGA-16,SUPCH4P,OUT
E_WON_Trans_C1_BTN,ELCWIN,IN
IPLPOIL_existing,INDCH4N,OUT
SUP_TRANSFER,OILCRD,OUT
INMFINPRO00,INM,OUT
MinCOABCO-08,SUPELC,IN
EZCOABIOCCOSLD5CO,QIGCC,OUT
RCKDST000,RCK,OUT
ISLPNGA_new,INDCH4N,OUT
MinCOAHCO-07,SUPCH4P,OUT
EZCOABIOCCOPEL10SEP,ELCN2ON,OUT
UFTDST_COA,SUPCO2N,OUT
E_WOF_tran_Inter_C3_THA,ELCWIN,IN
MINOILSAN1,SUPOIL,IN
CHWELB005,COMELC,IN
MinGASNGA-33,OILNGL,OUT
TRHLPG_Existing,TRACH4N,OUT
IFCHDST_existing,IFCH,OUT
INMSLDMIX,INDCH4N,OUT
TAI_Generic,TRAN2ON,OUT
TRHNGA_new,TRANGA,IN
ECOABIOCCATOR40PAR,ELCCO2N,OUT
MinGASNGA-28,FWCU,OUT
E_WOF_tran_Inter_C5_EST,ELCWIN,IN
E_WOF_shal_Far_C6_NLD,ELCWIN,IN
E_WOF_deep_Far_C4_PRT,ELC,OUT
EBIOGEN00,QTVOB0,OUT
CSHNGB005,CSH,OUT
IPNFHFO_existing,INDN2ON,OUT
CHWCOA005,COMN2ON,OUT
QOLG05,QTVOC,IN
E_WOF_deep_Far_C2_MMR,ELC,OUT
TRMDSB_new,TRACH4N,OUT
E_WOF_shal_Inter_C3_VNM,ELCWIN,IN
IISULCORED_DRI01,MISCST,OUT
E_WOF_deep_Near_C4_NOR,ELCWIN,IN
ECOABIOPULTOR10CO,ELCN2ON,OUT
E_WOF_deep_Far_C4_VNM,ELC,OUT
ISOIOIL_new,INDN2ON,OUT
ISNFBFG_existing,INDBFG,IN
E_WOF_deep_Inter_C3_PHL,ELCWIN,IN
E_WOF_deep_Inter_C4_SLB,ELCWIN,IN
IFCHNSP_existing,IFCH,OUT
IPLPNGA_new,INDN2ON,OUT
FT_ELCOIL,OILNAP,IN
ECOABIOPULTOR40SEP,ELCN2ON,OUT
IOLPBNG_existing,IOLP,OUT
RSCELF005,RSC,OUT
EGOITUA105,ELCN2ON,OUT
E_WON_Trans_C2_THA,ELCWIN,IN
AGR000,AGRNGA,IN
IISCOABFCS01,IISCO2,OUT
ISLPHFO_new,INDN2ON,OUT
IISBFCCS_RFT01,IISBFFUELCCS,IN
MINOILHEA7,SUPELC,IN
QOLM05,QTVOS,IN
EZCCGT121,ELCCH4N,OUT
ROTSOL005,ROT,OUT
ECOABIOCCATOR10PAR,FWW,OUT
IISMXDRICCS_RFT01,INDELC,IN
ECOACCO105,ELCCOA,IN
MinCOAHCO-04,SUPNGA,IN
QOLFIG05,FWC,OUT
EBIOPELG105,FWW,OUT
MINOILOSH2,SUPBDS,IN
ISOIHET_existing,ISOI,OUT
E_WOF_deep_Near_C1_THA,ELC,OUT
IISCRXCS01,CPTIISB,OUT
FT_ELCCOB,ELCCOB,OUT
IPOIHFO_new,INDN2ON,OUT
TRHLPG_new,TRAN2ON,OUT
QOLS05,QTVOS,IN
ENUCFUS110,ELC,OUT
E_WOF_shal_Near_C5_LTU,ELC,OUT
CHWBIO000,CHW,OUT
E_WOF_deep_Inter_C3_RUS,ELCWIN,IN
MinCOABCO-08,SUPNGA,IN
ECOABIOPULTOR40PAR,ELCCH4N,OUT
ESOPV105,ELCSOL,IN
QOLS05,QTVOE,IN
ECOABIOCCAPEL10PAR,ELCPFA,OUT
TRTNGA_Existing,TRAN2ON,OUT
IPLPOVC_existing,IPLP,OUT
ECOABIOCCASLD10PAR,ELCCOA,IN
MinCOABCO-08,SUPRPP,IN
RSHDST005,RESOIL,IN
E_WOF_deep_Far_C3_YEM,ELC,OUT
IISBLAFUR_BF01,MISLIM,IN
RLIKER005,RESKER,IN
MINOILOSH2,SUPCH4P,OUT
QQCLDOC00,QTVOC0,IN
TRBETH_new,TRAETH,IN
MINOILSAN0,SUPCO2N,OUT
ECOABIOCCAPEL20PAR,ELCCOA,IN
ECOABIOPULTOR10SEP,ELCCH4N,OUT
ECOABIOPULSLD10PAR,ELC,OUT
FT_IISBFFUEL,INDLPG,IN
MinBIOBIN-18,BIOBIN,OUT
ECOABIOCCASLD40PAR,ELCCH4N,OUT
MinCOAHCO-02,SUPCO2N,OUT
RSCNGA005,RSC,OUT
TRMNGA_new,TRABIOSNG,IN
CCKNGA000,COMN2ON,OUT
CHWSOD005,COMCH4N,OUT
SUP_OILFEEDMY,OILFEE,OUT
INMCEMPLA00,INDCO2P,OUT
ECOABIOCCAPEL10SEP,ELCCH4N,OUT
EZPCOA129,QTVOC,OUT
E_WON_Near_C1_VEN,ELCWIN,IN
MinCOABCO-09,FWCU,OUT
RDWELC105,RDW,OUT
ECOABIOCCASLD10SEP,BIOSLD,IN
IOLPLPG_new,INDN2ON,OUT
CHWNGB005,COMNGA,IN
E_WOF_deep_Near_C3_SWE,ELCWIN,IN
E_WOF_shal_Near_C4_PYF,ELC,OUT
E_WON_Near_C5_GRC,ELCWIN,IN
MinGASNGA-13,SUPHET,IN
MinGASNGA-30,SUPCO2N,OUT
ECOABIOCCATOR10PAR,BIOTOR,IN
CHWBIO005,CHW,OUT
ECOABIOPULTOR10SEP,ELCPFA,OUT
TRLELC_Existing,TRL,OUT
ECOABIOPULTOR10SEP,ELCN2ON,OUT
E_WOF_deep_Far_C3_FJI,ELC,OUT
ECOABIOPULSLD20SEP,ELC,OUT
IISHISINT_SMCCS01,IISCO2P,OUT
IPNFCOA_existing,INDCH4N,OUT
ECOABIOPULSLD5CO,ELCCH4N,OUT
RLIFLE000,RESELC,IN
EBIOTORG105,FWW,OUT
CSHHFO000,COMN2ON,OUT
ISOILPG_existing,INDCH4N,OUT
ECOABIOCCATOR10CO,FWW,OUT
UPYRGSL_BIOCCS,CPTSUPCO2B,OUT
MinCOAHCO-08,SUPBDS,IN
RLIICA010,RESELC,IN
E_WOF_deep_Near_C5_PRT,ELCWIN,IN
MinGASNGA-22,SUPBDS,IN
MINOILHEA4,SUPHET,IN
TRLNGA_Existing,TRACH4N,OUT
MinCOABCO-01,SUPNGA,IN
IOLPBNG_existing,INDBIOSNG,IN
ROTKER000,RESKER,IN
EABDSLGEN00,ELC,OUT
FT_IISPTDFUEL,INDOIL,IN
E_WON_Trans_C7_NIC,ELCWIN,IN
MinCOAHCO-06,FWCU,OUT
TRLDST_Existing,TRL,OUT
SUP_TRANSFER,GASETH,OUT
MinGASNGA-04,SUPNGA,IN
IMLPELC_existing,INDELC,IN
MinGASNGA-30,FWCU,OUT
CCKLPG000,COMCH4N,OUT
ECOABIOCCATOR10SEP,ELCCOA,IN
ECOAPUL105,ELCN2ON,OUT
ECOABIOCCATOR40SEP,ELCCO2N,OUT
FT_IISBFFUEL,IISBMTNGASPS,IN
ECHPBIOPELL105,BIOPEL,IN
MINOILHEA8,SUPBDS,IN
MINOILHEA5,SUPBDS,IN
MinGASNGA-13,SUPBDS,IN
MinGASNGA-23,SUPRFG,IN
ISNFCOK_existing,INDCOK,IN
MinCOABCO-09,SUPNGA,IN
ISLPLPG_existing,ISLP,OUT
MinCOAHCO-07,SUPBFG,IN
CSCELI005,CSC,OUT
CSHNHP000,COMN2ON,OUT
IOCHPTC_existing,INDCH4N,OUT
FT_IISSNRFUEL,IISCHRCOA,IN
MinCOABCO-05,SUPNGA,IN
EBIOPELD105,ELC,OUT
E_WOF_deep_Near_C5_FRA,ELCWIN,IN
EBIOPELG105,QIGCC,OUT
MINOILHEA3,SUPRPP,IN
MinGASNGA-08,SUPCH4P,OUT
MinGASNGA-07,SUPHET,IN
E_WON_Trans_C2_IDN,ELC,OUT
IOOIPTC_existing,INDCH4N,OUT
EBIOTORD105,FGDW,OUT
RHWDSO005,RESOIL,IN
ECOABIOPULTOR10SEP,QTVOC,OUT
QCLFUC05,ELC,IN
CCKBIO000,CCK,OUT
RHWNGA005,RHW,OUT
CSCELE010,COMELC,IN
IISDRI00,MISCST,OUT
EACOAGEN00,ELC,OUT
IISCRXCS01,CPTINDCO2N,OUT
MINOILHEA7,SUPHET,IN
MinCOAHCO-10,SUPBDS,IN
QOLG05,QTVOS,IN
SUP_COATAR,COACOK,IN
E_WOF_tran_Inter_C1_SAU,ELCWIN,IN
IPOIBNG_existing,INDCH4N,OUT
MinGASNGA-10,SUPNGA,IN
MinGASNGA-05,FWCU,OUT
QCLDOO05,QTOT,OUT
MINOILOBI3,SUPCH4P,OUT
MINOILSAN2,SUPELC,IN
ECOABIOCCASLD10SEP,ELCCH4N,OUT
FT_COMBIO,BIOBIN,IN
MinGASNGA-25,FWCU,OUT
ECOABIOCCATOR40SEP,BIOTOR,IN
EZCOABIOPULPEL40PAR,QTVOC,OUT
FT_RESBIO,BIOGSL,IN
E_WOF_shal_Far_C5_KOR,ELC,OUT
ROTKER000,RESCH4N,OUT
IISULCOLYSIS01,INDELC,IN
ECOABIOCCAPEL20PAR,FWC,OUT
CCKKER000,COMKER,IN
ECOABIOPULTOR40SEP,ELCPFA,OUT
ECOACCO105,ELCPFA,OUT
EZCOABIOPULPEL20PAR,ELCCH4N,OUT
TRBGAS_new,TRAN2ON,OUT
ISCHCOA_new,INDCH4N,OUT
MinGASNGA-33,GASNGA,OUT
CHWDST005,COMN2ON,OUT
MinGASNGA-13,SUPELC,IN
MINOILSAN1,SUPCO2N,OUT
EZCOABIOPULPEL10SEP,ELCN2ON,OUT
ISCHHET_existing,INDHET,IN
UZETHCRP101,SUPN2ON,OUT
MinCOAHCO-02,SUPBIO,IN
TRBDST_Existing,TRAN2ON,OUT
TRHGAS_new,TRAGSL,IN
RCKBIO005,RESBIO,IN
FT_COMOIL,OILLUB,IN
ECOAPUL106,ELCCO2N,OUT
QCLDOE05,QTOT,OUT
IPCHHFO_existing,INDHFO,IN
E_WOF_tran_Near_C3_LVA,ELCWIN,IN
ILP000,IPLP,IN
MINOILOBI4,SUPELC,IN
FT_COMCOA,COACOK,IN
E_WON_Near_C4_TJK,ELCWIN,IN
EZCOABIOPULTOR20PAR,QTVOC,OUT
ISLPOIL_existing,ISLP,OUT
IISBFCCS_RFT01,MISPLT,IN
EZCOABIOCCOPEL10CO,ELCN2ON,OUT
CSCELB005,CSC,OUT
RSHELS005,RESELC,IN
MinCOAHCO-05,SUPCO2N,OUT
ECOAPUL106,ELCCH4N,OUT
ECOABIOCCAPEL20SEP,ELCPFA,OUT
QCLDIG05,QTOT,OUT
MinGASNGA-28,SUPCO2N,OUT
EZPCOA122,ELCN2ON,OUT
EABDSLGEN00,ELCBDSL,IN
RSHDST005,RESCH4N,OUT
RDWELC005,RDW,OUT
IPLPLPG_new,INDCO2N,OUT
SUP_TES,OILNGL,OUT
MinCOAHCO-10,SUPCOA,IN
ECOAGEN00,ELCCH4N,OUT
QQCLFCG00,FWW,OUT
ROTLPG000,RESCH4N,OUT
CSCELJ005,COMELC,IN
MinGASNGA-36,SUPCH4P,OUT
MinGASNGA-03,OILNGL,OUT
IISNGAS01,INDNGA,IN
MinGASNGA-02,SUPRFG,IN
ISNFCOA_new,INDCO2N,OUT
CSCDST015,COMCH4N,OUT
QOLM05,QTVOG,IN
MinCOABCO-01,FWCU,OUT
E_WOF_tran_Inter_C3_IND,ELCWIN,IN
ECOABIOPULPEL20SEP,QTVOC,OUT
E_WOF_tran_Far_C3_USA,ELCWIN,IN
ECOABIOCCAPEL20SEP,FWW,OUT
UPRL2G100,GASLNG,IN
TRLHHC005,TRL,OUT
SUP_TCOKEOVS,SUPBFG,IN
MinGASNGA-03,SUPHET,IN
QQOLG00,QCCG0,IN
E_WOF_deep_Far_C7_ISL,ELC,OUT
QOLFCG05,QCCG,IN
E_WOF_shal_Near_C2_IRN,ELC,OUT
ISLPOIL_new,INDCO2N,OUT
IISNGBGUD01,IISNGAS,IN
ISCHOIL_existing,INDCO2N,OUT
INMSLDMIX,INDN2ON,OUT
IFCHNAP_existing,OILNAP,IN
TRBLPG_new,TRAN2ON,OUT
ROTCOA000,RESCH4N,OUT
TRTDCB_new,TRACH4N,OUT
CCKCOA000,CCK,OUT
MINOILOBI1,SUPRPP,IN
CSHEHP005,CSH,OUT
MinCOAHCO-10,SUPBIO,IN
IOOILPG_existing,INDCH4N,OUT
MINOILSAN0,SUPRFG,IN
ECOABIOPULPEL10CO,ELCCO2N,OUT
E_WOF_shal_Near_C2_PNG,ELCWIN,IN
E_WOF_deep_Inter_C4_SWE,ELCWIN,IN
E_WON_Trans_C7_ARG,ELC,OUT
MinCOABCO-11,SUPBIO,IN
QOLFUC05,QTVUC,IN
IPNFLPG_new,INDCO2N,OUT
TRMGSL_Existing,TRACH4N,OUT
TRTNGA_new,TRANGA,IN
E_WOF_deep_Far_C1_VNM,ELC,OUT
QOLFOB05,FWC,OUT
MinCOAHCO-01,SUPHET,IN
TRMETH_new,TRM,OUT
ISCHOVC_existing,INDN2ON,OUT
E_WOF_deep_Far_C4_SLB,ELC,OUT
ECOABIOCCAPEL20SEP,ELCCO2N,OUT
EZCOABIOCCOSLD5CO,ELCN2ON,OUT
E_WOF_shal_Far_C3_MMR,ELC,OUT
HETAOILP00,ELCCH4N,OUT
QOLM05,QTVON,IN
E_WOF_tran_Inter_C4_PNG,ELC,OUT
IISMIDREX_DRI01,MISLIM,IN
CHWNGB005,CHW,OUT
MinCOAHCO-11,SUPCOG,IN
MinGASNGA-02,SUPNGA,IN
MINOILSAN2,SUPRFG,IN
MinGASNGA-20,SUPCO2N,OUT
E_WOF_tran_Near_C1_MMR,ELCWIN,IN
E_WON_Trans_C1_ESP,ELCWIN,IN
IISBCHCKBFCS01,CPTIISB,OUT
MINOILSAN2,SUPOIL,IN
ISLPOVC_existing,INDN2ON,OUT
CCKDST005,COMCH4N,OUT
MINOILSAN2,SUPBDS,IN
EZIGC1120,QIGCC,OUT
HETAGASP00,ELCNGA,IN
E_WOF_deep_Near_C5_KOR,ELCWIN,IN
RSHNHP000,RESN2ON,OUT
FT_RESELC,RESELC,OUT
CSCGEO000,COMGEO,IN
FT_ELCNGA,GASRFG,IN
QOLM05,QTVOO,IN
FT_ELCOIL,OILJTK,IN
IPLPOVC_existing,INDN2ON,OUT
TRCNGA_Existing,TRACH4N,OUT
SUP_TRANSFER,OILNAP,IN
RSCRAE000,RSC,OUT
IPNFLPG_existing,INDCH4N,OUT
MinCOAHCO-10,FWCU,OUT
EZCOABIOPULPEL40PAR,ELCN2ON,OUT
E_WON_Near_C3_IDN,ELC,OUT
AGR000,AGRLPG,IN
ISOIOVC_existing,ISOI,OUT
EZCOABIOPULSLD40PAR,ELCCH4N,OUT
IISSINTER00,MISFORE,IN
E_WOF_tran_Near_C5_NCL,ELC,OUT
MinGASNGA-26,SUPELC,IN
IISCHRCAUD01,IISCHCAUDCS,OUT
MINOILOBI2,SUPRFG,IN
MinCOABCO-01,SUPOIL,IN
CHWDST000,COMOIL,IN
ECOABIOCCATOR20PAR,ELCCO2N,OUT
IISBLAFUR_BFCCS01,MISQLI,IN
MinCOAHCO-05,SUPBIO,IN
RSHERS005,RESELC,IN
TRHDSA_new,TRADST,IN
E_WOF_deep_Inter_C2_GRC,ELCWIN,IN
MinGASNGA-10,SUPRFG,IN
ECOABIOPULSLD10SEP,QTVOC,OUT
TRTNGA_Existing,TRT,OUT
IISFPROC00,MISFST,OUT
FT_INDBGAS,INDBGAS,OUT
FT_ELCHYD,ELCHYD,OUT
E_WON_Near_C1_YEM,ELC,OUT
IPCHLPG_new,INDN2ON,OUT
E_WOF_tran_Near_C3_ROM,ELC,OUT
QCLDOE05,QTVOE,IN
EZBIOTORG105,QTVOB,OUT
MinCOABCO-05,FWCU,OUT
IISOILCS01,INDCH4N,OUT
IISBLAFURTGR_BF01,IISCOG,IN
MinGASNGA-11,SUPELC,IN
ISLPHFO_existing,INDN2ON,OUT
E_WON_Near_C5_CRI,ELCWIN,IN
EWIND105,ELC,OUT
MinGASNGA-08,SUPBDS,IN
IPLPOIL_existing,INDCO2N,OUT
ECHPGASP105,ELCCH4N,OUT
MinGASNGA-12,SUPHET,IN
SUP_TREFINER,SUPN2ON,OUT
FT_IISDRIFUEL,IISDRIFUEL,OUT
SUP_TNONSPEC,OILFEE,OUT
EBIOTORGD05,FWC,OUT
ESOPVGEN00,ELCSOL,IN
MinCOAHCO-06,SUPHET,IN
FT_INDHFO,OILASP,IN
E_WON_Near_C1_BHR,ELCWIN,IN
E_WOF_tran_Inter_C4_PRK,ELCWIN,IN
CSCDST005,COMOIL,IN
TRTGCB_new,TRAGSL,IN
E_WOF_deep_Near_C3_ROM,ELCWIN,IN
CHPGASP00,ELCN2ON,OUT
ESOLTHC305,ELC,OUT
IOLPOIL_existing,IOLP,OUT
FT_IISFPRFUEL,IISCOG,IN
EZCOABIOPULTOR10CO,QTVOC,OUT
CHPABDSLP00,ELCBDSL,IN
CHPAMWSTP00,ELCMWST,IN
MinCOAHCO-09,SUPCOA,IN
E_WOF_deep_Inter_C4_ESP,ELCWIN,IN
TRTDCA_new,TRACH4N,OUT
E_WOF_deep_Near_C3_HRV,ELC,OUT
ISLPBNG_existing,ISLP,OUT
IPLPNGA_existing,INDNGA,IN
MinGASNGA-24,SUPHET,IN
FT_MCKOVC,COAOVC,OUT
EZOCOA121,ELCPFA,OUT
CHPBIOP00,HET,OUT
IOCHELC_existing,INDELC,IN
TRHNGA_Existing,TRACH4N,OUT
RCKLPG000,RCK,OUT
EBIOPELGD05,FWC,OUT
MINOILSAN0,SUPCH4P,OUT
E_WOF_deep_Far_C6_ESP,ELCWIN,IN
TRHDSA_new,TRACH4N,OUT
ECOABIOPULPEL10SEP,ELCPFA,OUT
RHWSOL005,RHW,OUT
IISDRIH2INT01,MISFORE,IN
IONFPTC_existing,IONF,OUT
E_WOF_deep_Near_C5_VUT,ELCWIN,IN
RSCNGB005,RESNGA,IN
ISNFHET_existing,INDHET,IN
TRCDST_new,TRAN2ON,OUT
UPYRDST_BIOCCS,CPTSUPCO2B,OUT
ISOINGA_existing,INDCO2N,OUT
ROTHET005,ROT,OUT
MinGASNGA-10,SUPRPP,IN
E_WON_Near_C5_ARG,ELCWIN,IN
ISNFNGA_new,INDN2ON,OUT
FT_AGRBIO,BIOGSL,IN
TTP_Generic,TRABDS,IN
E_WOF_deep_Inter_C4_ROM,ELC,OUT
EWIND305,ELCD,OUT
FT_IISSNRFUEL,INDBOIL,IN
HETAOILP00,ELCOIL,IN
IISBLAFURTGR_BF01,MISCST,OUT
EGASGEN00,FGDW,OUT
TRCBGS_Existing,TRABGS,IN
IISBLAFURTGR_BFCCS01,MISSNT,IN
FT_IISDRIFUEL,IISBFG,IN
ISOICOK_existing,INDCO2N,OUT
FT_INDCOA,COABCO,IN
ECOABIOCCASLD10PAR,BIOSLD,IN
HETOILP00,ELCN2ON,OUT
E_WON_Trans_C2_BLZ,ELCWIN,IN
MinGASNGA-03,SUPRFG,IN
MinCOAHCO-03,SUPELC,IN
ISOIHFO_new,INDCO2N,OUT
MinGASNGA-22,SUPRFG,IN
EZBIOPELG105,QIGCC,OUT
