process,commodity,direction
EZCOABIOCCOPEL10PAR,ELCCOA,IN
UBIOCRPTOCRP500,BIOCRPCAS,IN
UBIOSRCLIG100,BIOLIG,OUT
USUNOIL100,BIOSUNOIL,OUT
E_WON_Trans_C3_COG,ELCWIN,IN
RCH4WLF08,RESCH4P,IN
UBIOARSPTOARSP100,BIOCANEML,IN
E_WOF_shal_Inter_C8_ARG,ELCWIN,IN
E_WOF_shal_Near_C5_CAN,ELC,OUT
ISLPNGA_new,INDNGA,IN
SNKDACSS02,CPTTOTCO2,OUT
E_WON_Trans_C1_NGA,ELC,OUT
CCSDUMINDB,SNKCO2,OUT
E_SPV_C07_AUT,ELC,OUT
EGASFCE105,ELC,OUT
INMCEMPLAKS1CC,INMFUELCC,IN
EZCOABIOPULSLD10PAR,ELCCOA,IN
INMSLDMIXCC,INMSLDCC,OUT
CCSDUMSUPB,SNKCO2,OUT
CCUMET04,ALCMETB,OUT
E_WOF_deep_Near_C3_SLV,ELCWIN,IN
INMSLDMIXPCC,INMBIOCHR,IN
E_WOF_tran_Near_C3_SOM,ELCWIN,IN
ACH4MAN03,AGRCH4P,IN
MINBIOPRC0,BIOPRC,OUT
UBIOARSHTOARSH100,BIOARSSG,IN
E_WOF_shal_Far_C8_MUS,ELCWIN,IN
EZCOABIOCCOPEL10CO,ELCCOA,IN
IPOIHFO_new,INDHFO,IN
E_SPV_C05_GRC,ELCSOL,IN
EZBIOPELG105,BIOPEL,IN
E_SPV_C02_IND,ELC,OUT
IOOINGA_new,IOOI,OUT
EZCOABIOPULSLD5CO,ELC,OUT
UBIOARSHTOARSH100,BIOARSCANE,IN
EZOCOA122,ELC,OUT
INMFINPRO03,INM,OUT
E_WOF_deep_Far_C5_HND,ELCWIN,IN
E_WON_Trans_C5_ERI,ELCWIN,IN
E_SPV_C03_BFA,ELCSOL,IN
COMBIOSNG010,COMBIOSNG,OUT
UBIOGASAD00,BIOARSH,IN
INMSLDMIXPCC,INMSLDPCC,OUT
EZCOABIOPULTOR10PAR,ELCCOA,IN
EZCOABIOPULPEL10PAR,ELCCO2N,OUT
CCUGAS01,CCUFOS,IN
E_WON_Near_C9_MDG,ELC,OUT
E_WOF_shal_Inter_C5_MDG,ELCWIN,IN
HZBIO200,SYNHY0,OUT
ACH4MAN03,AGRDMY,OUT
EZCOABIOPULPEL20PAR,ELCCO2N,OUT
EZCOABIOCCOPEL10PAR,BIOPEL,IN
UBIOCRPPRD900,BIOARSPALM,OUT
E_SPV_C03_BGR,ELC,OUT
CCSDUMINDBISI,CPTINDCO2B,IN
E_WOF_tran_Near_C2_CUB,ELCWIN,IN
EZCOABIOPULSLD5CO,CPTELCCO2B,OUT
CCUDUMTOT,CCUNEU,OUT
INMFINPRO01,MNMCLK,IN
E_WOF_tran_Near_C3_CPV,ELC,OUT
CCUMET02,ALCMET,OUT
EZCOABIOPULTOR20PAR,CPTELCCO2B,OUT
IOLPOIL_new,INDOIL,IN
INMFINPRO02,INM,OUT
EZCOABIOPULTOR10CO,BIOTOR,IN
E_SPV_C07_IND,ELCSOL,IN
E_SPV_C04_GTM,ELCSOL,IN
ACH4MANE4,AGRNG4,IN
EZCOABIOPULTOR10SEP,CPTELCCO2N,OUT
HPEM100,SYNHY0,OUT
EZCOABIOPULTOR20SEP,ELCCOA,IN
IMOIELC_new,INDELC,IN
UBIOSRF100,BIOSRF,IN
UBIOCRPPRD1000,BIOARSCOC,OUT
UPALMOIL100,BIOPALMCAK,OUT
ISLPBIO_new,INDBIO,IN
CCSDUMINDBPP,INDCO2P,IN
CO2TRAON - step 1,CO2TRAON,OUT
UBIOCRPTOCRP200,BIOCRPBLE,IN
UZETHCRP202,BIOARSBLE,IN
INMCEMPLAKS1CC,INDCO2P,OUT
CCUGAS04,GASNGAB,OUT
UBDLCRP200,BIODST,OUT
E_SPV_C06_ZWE,ELC,OUT
IN2ONIT01,INDDMY,OUT
ELCBIOSNG010,BIOSNGAS,IN
EZCOABIOCCOPEL10SEP,ELC,OUT
ACH4MAN02,AGRCH4P,IN
EZOCOA121,ELC,OUT
EZPCOA128,ELCCO2N,OUT
EZOCOA121,ELCCO2N,OUT
RCH4WLF01,RESDMY,OUT
E_WOF_tran_Far_C4_HND,ELC,OUT
CCUMINPFAF,ELCPFA,IN
EZCOABIOCCOSLD10PAR,ELCCO2N,OUT
UBIOCRPTOCRP500,BIOCRP,OUT
E_WON_Trans_C1_AUS,ELC,OUT
EZCOABIOCCOSLD20SEP,CPTELCCO2N,OUT
E_SPV_C06_SVN,ELC,OUT
ISLPCOA_new,INDCOA,IN
IPOIOVC_new,INDOVC,IN
UBIOSRF600,BIOSRF,IN
E_WOF_tran_Far_C5_ARG,ELCWIN,IN
EZBIOTORD105,ELC,OUT
IN2ONIT06,INDN2OP,IN
IN2ONIT01,INDNIT,IN
E_SPV_C05_NGA,ELC,OUT
INMLIQMIXPCC,INDHFO,IN
INMGASMIXPCC,INDLPG,IN
RCH4WLF04,RESWLF4,IN
RCH4WLF08,RESNG8,OUT
UBIOWOODSLD100,BIOWOOD,IN
UETHCRP102,BIOCRPSTR,IN
EZCOABIOPULSLD40PAR,CPTELCCO2N,OUT
RCH4WLF09,RESNGA,OUT
UBDLCRP201,BIOLIG,IN
E_SPV_C04_EGY,ELCSOL,IN
E_SPV_C03_JPN,ELCSOL,IN
CCSDUMINMPB,CPTINMB,IN
E_WON_Trans_C7_KEN,ELC,OUT
E_WOF_deep_Near_C3_CRI,ELC,OUT
UMETCOA100,SUPCOA,IN
ISLPHFO_new,ISLP,OUT
INMFINPRO03,INDELC,IN
IOOIOIL_new,INDOIL,IN
ISLPCOA_new,ISLP,OUT
CCSDUMINMB,CPTINDCO2B,IN
E_WOF_shal_Far_C5_CHN,ELCWIN,IN
CCSDUMINMB,INDCO2N,IN
E_WOF_tran_Far_C4_CAN,ELC,OUT
UBDLCRP201,BIODST,OUT
E_WON_Near_C2_GNB,ELCWIN,IN
ACH4MAN02,AGRMAN2,IN
E_WOF_shal_Inter_C1_GAB,ELC,OUT
CCULIQ01,CCUFOS,IN
EZCOABIOCCOSLD20SEP,ELCCOA,IN
EZCOABIOCCOSLD10PAR,ELCBSL,IN
E_SPV_C07_RUS,ELCSOL,IN
MINBIOSRF0,BIOSRF,OUT
RCH4WLF09,RESDMY,OUT
EZPCOA120,ELCCOA,IN
IPNFNGA_new,INDNGA,IN
ISCHOIL_new,ISCH,OUT
QQOLFOE00,FWC,OUT
ACH4MAN01,AGRNGA,OUT
UBIOCRPPRD100,BIOSRFMAI,IN
UFTDST_COACCS,OILDST,OUT
UBIOCANESUGAR100,BIOCRPCANE,IN
UBIOWOODLIG100,BIOWOOD,IN
E_WOF_shal_Near_C6_CHL,ELCWIN,IN
IPCHHFO_new,IPCH,OUT
UBIOARSHTOARSH100,BIOARSMAI,IN
EZBIOTORG105,BIOTOR,IN
E_WOF_tran_Near_C5_SOM,ELCWIN,IN
UBIOSRF100,BIOSRFMAI,OUT
E_WOF_deep_Near_C1_EGY,ELCWIN,IN
E_WON_Trans_C1_LBR,ELCWIN,IN
UBIOSRF300,BIOSRFSG,OUT
IPCHOIL_new,INDOIL,IN
INMCEMPLAWET01,INMFUEL,IN
E_WOF_deep_Inter_C6_MRT,ELC,OUT
UDISTHH202,SYNHYD,OUT
UBIOWHEATSUGAR100,BIOCRPBLE,IN
E_WOF_tran_Near_C4_SOM,ELCWIN,IN
INMGASMIXCC,INDHH2,IN
CCUMINEASF,MISEAS,IN
E_SPV_C06_MNG,ELC,OUT
UBIOCRPTOCRP600,BIOCRPSOY,IN
E_SPV_C02_ESP,ELCSOL,IN
EZCOABIOPULPEL10CO,ELCCOA,IN
EZPCOA121,CPTELCCO2N,OUT
INMLIQMIXCC,INDHFO,IN
E_WOF_shal_Near_C9_SOM,ELC,OUT
E_WOF_tran_Near_C3_BRA,ELCWIN,IN
ELCIIS01,INDELC,OUT
ISOICOA_new,INDCOA,IN
E_SPV_C04_ARE,ELC,OUT
UBIOSRF800,BIOSRF,IN
UBIOCRPTOCRP1600,BIOCRPMIS,IN
E_WON_Trans_C6_MRT,ELCWIN,IN
E_WOF_deep_Inter_C3_AUS,ELC,OUT
E_WOF_shal_Near_C4_CHL,ELC,OUT
INMCEMPLAOXYPCC,INMFUELPCC,IN
EZCOABIOCCOPEL10PAR,ELC,OUT
CCUDUMELCN,CCUFOS,OUT
CCUMINBFSF,MISBFS,IN
IFCHLPG_new,IFCH,OUT
INMSLDMIXPCC,INMBIOPEL,IN
UETHCRP102,ALCETH,OUT
IPLPELC_new,IPLP,OUT
CCULIQ04,OILKERB,OUT
CCUDUMINDB,CCUNEU,OUT
UETHCRP201,ELC,IN
E_SPV_C05_JAM,ELC,OUT
INMLIQMIXPCC,INDOIL,IN
UBIOSRF1400,BIOSRFBETT,OUT
E_SPV_C05_AFG,ELCSOL,IN
ISNFCOA_new,INDCOA,IN
E_WON_Trans_C4_COG,ELC,OUT
E_SPV_C05_MWI,ELC,OUT
E_WON_Far_C4_GUY,ELC,OUT
EZCOABIOPULTOR40CO,ELC,OUT
FT_INMFUELCC,INMSLDCC,IN
E_WOF_deep_Inter_C9_CAN,ELCWIN,IN
E_SPV_C05_ZMB,ELC,OUT
EZCOABIOPULTOR40CO,CPTELCCO2B,OUT
E_SPV_C01_KHM,ELC,OUT
RCH4WLF05,RESCH4P,IN
E_WOF_tran_Near_C1_GTM,ELC,OUT
UBIOCRPPRD600,BIOSRFSOY,IN
EZCOABIOPULTOR40SEP,ELCCOA,IN
CCUDUMINDN,CCUFOS,OUT
RCH4WLF10,RESWLF10,IN
UBIOMAIZESUGAR100,BIOCRPSTR,OUT
UBIOMAIZESUGAR100,BIOCRPMAI,IN
EZCOABIOPULPEL10CO,BIOPEL,IN
E_WON_Near_C3_CAN,ELCWIN,IN
E_WON_Far_C3_NER,ELC,OUT
E_SPV_C07_GRC,ELCSOL,IN
UBIOGASUPG00,BIOGAS,IN
E_WOF_deep_Far_C5_COL,ELCWIN,IN
UFTDST_COA,OILDST,OUT
QQOLFOO00,QTOT0,OUT
UBIOCRPPRD1400,BIOCRPBETT,OUT
EZCOABIOCCOPEL20SEP,ELCCOA,IN
E_WOF_tran_Near_C6_NZL,ELC,OUT
UBIOARSHTOARSH100,BIOARSH,OUT
UBIOGASAD00,BIOCRP,IN
EZCOABIOPULSLD5CO,ELCCO2N,OUT
EZCCGT123,CPTELCCO2N,OUT
E_WOF_deep_Far_C1_GIN,ELCWIN,IN
CCUMINBFSB,MISBFS,IN
EZCOABIOCCOPEL20SEP,ELC,OUT
IOOINGA_new,INDNGA,IN
UBIOSRCSLD100,BIOSLD,OUT
IPCHNGA_new,IPCH,OUT
UBIOARSHTOARSH100,BIOARSBLE,IN
EZCOABIOCCOPEL10SEP,ELCCOA,IN
E_SPV_C02_SDN,ELCSOL,IN
E_WOF_shal_Near_C1_BLZ,ELC,OUT
INMAGGPROD,ASHAGG,IN
UBIOARSPLIG100,BIOLIG,OUT
UBIOCAGLIG100,BIOCRPCAG,IN
UBIOCRPPRD900,BIOCRPPALM,OUT
IPNFCOA_new,IPNF,OUT
FT_INMFUELCC,INMLIQCC,IN
EZCOABIOCCOPEL20SEP,BIOPEL,IN
UBIOGASUPG00,BIOSNGAS,OUT
E_WOF_deep_Near_C4_AUS,ELC,OUT
EZCOABIOPULPEL10SEP,CPTELCCO2B,OUT
EZCOABIOCCOSLD10PAR,ELC,OUT
IPLPOIL_new,IPLP,OUT
E_WOF_tran_Inter_C2_NIC,ELCWIN,IN
E_WOF_deep_Inter_C3_TZA,ELC,OUT
IISFINSAL01,IIS,OUT
UBIOCRPPRD700,BIOCRPSUN,OUT
ISNFCOA_new,ISNF,OUT
CCULIQ02,OILDST,OUT
CCUGAS03,SYNHY0,IN
FT_INMFUELCC,INDHET,IN
